NAME_PARTS;mainART_BRANDS;mainART_CODE_PARTS;TTC_ART_ID;BRANDS;CODE_PARTS;CODE_PARTS_ADVANCED
Radiator Hose;MALO;4273A;1;FIAT;4649378;4649378
Radiator Hose;MALO;4273A;1;FIAT;98424777;98424777
Radiator Hose;MALO;4273A;1;IVECO;4649378;4649378
Holder, exhaust system;MALO;19662;2;IVECO;9060048;9060048
Stabiliser Mounting;MALO;19777;3;IVECO;8558110;8558110
Stabiliser Mounting;MALO;19789;4;IVECO;8581295;8581295
Shaft Seal, crankshaft;MALO;904PTF;5;FORD;1211161;1211161
Shaft Seal, crankshaft;MALO;904PTF;5;FORD;1143317;1143317
Shaft Seal, crankshaft;MALO;905PTF;6;FORD;1207615;1207615
Shaft Seal, crankshaft;MALO;905PTF;6;FORD;1078528;1078528
Shaft Seal, crankshaft;MALO;918PRSF;7;SEAT;068103051G;068103051G
Shaft Seal, crankshaft;MALO;918PRSF;7;SKODA;068103051G;068103051G
Shaft Seal, crankshaft;MALO;918PRSF;7;VOLVO;2716801;2716801
Shaft Seal, crankshaft;MALO;918PRSF;7;VW;068103171F;068103171F
Shaft Seal, crankshaft;MALO;918PRSF;7;VW;068103051G;068103051G
Shaft Seal, wheel hub;MALO;930;8;RENAULT;5000387566;5000387566
Shaft Seal, differential;MALO;932PIFL;9;RENAULT;7703087188;7703087188
Camshaft;MALO;938PTF;10;RENAULT;7701473495;7701473495
Shaft Seal, differential;MALO;940PRDF;11;RENAULT;7701474122;7701474122
Shaft Seal, differential;MALO;940PRDF;11;RENAULT;7700852549;7700852549
Shaft Seal, wheel hub;MALO;941PI;12;RENAULT;5000389905;5000389905
Shaft Seal, crankshaft;MALO;950PTF;13;SEAT;06B103171B;06B103171B
Shaft Seal, crankshaft;MALO;950PTF;13;SKODA;068103171B;068103171B
Shaft Seal, crankshaft;MALO;950PTF;13;VW;06B103171B;06B103171B
Shaft Seal, wheel hub;MALO;961P;14;FORD;1047294;1047294
Shaft Seal, crankshaft;MALO;963PTF;15;MERCEDES-BENZ;1660100014;1660100014
